,precision,recall,f1-score,support
1,0.6156215621562157,0.6086578203175984,0.6121198862393349,4597.0
2,0.272480181200453,0.459511077158136,0.3421015213991184,2618.0
3,0.332031913087761,0.5216,0.40576703661445906,3750.0
4,0.33481052726779414,0.5218494502396391,0.4079114098396783,7094.0
5,0.9103598691384951,0.6375195692848142,0.7498933279435873,26189.0
accuracy,0.5956201410233231,0.5956201410233231,0.5956201410233231,0.5956201410233231
macro avg,0.49306081057014384,0.5498275834000376,0.5035586364072356,44248.0
weighted avg,0.7007106672165927,0.5956201410233231,0.6274598443836247,44248.0
