,precision,recall,f1-score,support
1,0.5103331927456769,0.2632151403088971,0.34730195177956374,4597.0
2,0.14974735875057418,0.12452253628724216,0.1359749739311783,2618.0
3,0.12486187845303867,0.030133333333333335,0.04854994629430719,3750.0
4,0.15660722450845907,0.09656047363969551,0.11946285315660969,7094.0
5,0.6695912379070916,0.8800641490702203,0.7605345652532586,26189.0
accuracy,0.5736304465738564,0.5736304465738564,0.5736304465738564,0.5736304465738564
macro avg,0.3222281784729681,0.2788991265278777,0.2823648580829835,44248.0
weighted avg,0.49387924644439535,0.5736304465738564,0.5175307598625183,44248.0
